X (m),Y (m),Z (m),Dx
-0.326452216,0.805902598,0.118656097,0.000467103
-0.328739282,0.808106956,0.121235651,0.00059088
-0.333470582,0.812369148,0.126715622,0.000308778
-0.306877709,0.787076831,0.104790986,0.001095971
-0.288778506,0.76818452,0.094360194,9.41E-05
-0.292036839,0.772159211,0.096991121,0.000980458
-0.313814073,0.795626098,0.112245407,0.00122785
-0.320723485,0.803633911,0.119841216,0.001376315
-0.33577007,0.814199325,0.129291679,0.000281923
-0.327674557,0.810750677,0.127609835,0.001210742
-0.2984452,0.781277608,0.104737881,0.000941508
-0.302024063,0.784532866,0.106081746,0.000245116
-0.305601072,0.789688223,0.111104993,0.000649681
-0.267193233,0.732947355,0.07491298,0.000152919
-0.283549937,0.765815481,0.097040767,0.000942949
-0.286749107,0.769715422,0.099437919,0.000123178
-0.290408489,0.774737706,0.103395894,0.000569364
-0.308079933,0.79268954,0.113651249,0.00057734
-0.31253578,0.798081627,0.118532169,0.000596758
-0.314935307,0.80089309,0.121092734,0.000736358
-0.319640197,0.806115991,0.12610904,0.000603502
-0.334681043,0.816849152,0.135589801,0.000691506
-0.326528117,0.813236053,0.133928966,0.000569458
-0.32191431,0.8085514,0.128686382,0.000794117
-0.292924398,0.77803347,0.105934487,0.000547823
-0.296561801,0.783396527,0.110834146,0.00030207
-0.300160995,0.786629084,0.112222819,0.000970649
-0.267302111,0.737963972,0.077495002,0.000449877
-0.269692422,0.742346883,0.078830011,0.000296159
-0.264556746,0.733064981,0.076011599,0.000151941
-0.271200512,0.747558831,0.083929306,0.000239153
-0.278012764,0.762375539,0.098491692,0.000480417
-0.281557895,0.768007894,0.10323677,0.00030559
-0.285098732,0.771486507,0.104599569,0.000854934
-0.3067533,0.795100295,0.119944482,0.001216198
-0.313865322,0.803350363,0.12745331,0.001386843
-0.32878174,0.815367582,0.136508335,0.000677839
-0.333617825,0.819434397,0.141997796,0.00036781
-0.320816441,0.810909624,0.135098813,0.001487292
-0.29154228,0.780568143,0.112200731,0.00106503
-0.298088482,0.78927863,0.11985173,0.001005792
-0.275348217,0.758625227,0.095862936,0.000641875
-0.261620804,0.735358829,0.079350778,0.000251873
-0.267693561,0.743933768,0.08303243,0.000597717
-0.259215084,0.7306994,0.077992028,0.000390813
-0.269185103,0.749515369,0.089480331,0.000875313
-0.276530266,0.764896283,0.104668004,0.000969641
-0.282821899,0.774158612,0.11221834,0.000861077
-0.301677866,0.792451362,0.121244152,0.000343
-0.305463674,0.797498715,0.126298166,0.000674769
-0.312654065,0.805605586,0.133794539,0.000669083
-0.307925094,0.800330604,0.128834369,0.000640973
-0.33597971,0.821154616,0.144548319,0.000324634
-0.327764672,0.817728552,0.142884694,0.001348661
-0.315036332,0.808190893,0.136353573,0.000715861
-0.319726104,0.813145955,0.141450429,0.000698372
-0.286335659,0.77756462,0.113584056,0.000348306
-0.290179446,0.783011814,0.118473985,0.000564771
-0.292705754,0.7861418,0.121019912,0.000638164
-0.296208348,0.791231753,0.126068012,0.000266053
-0.270327416,0.756078345,0.098401162,0.000642052
-0.259893585,0.736561917,0.082481597,0.000463075
-0.266015167,0.745340564,0.087185392,0.000108897
-0.26259356,0.74032074,0.084240826,0.000373586
-0.250849237,0.716710367,0.077276109,0.000112042
-0.256866556,0.72580493,0.07704571,0.000171704
-0.253710885,0.728220524,0.080060782,0.00021525
-0.264165593,0.746887555,0.092011692,8.48E-05
-0.267540837,0.752060314,0.095666658,0.000525942
-0.271818832,0.761937702,0.106047304,0.000223831
-0.275089257,0.76741492,0.110902409,0.000553966
-0.280933077,0.776190563,0.118391985,0.000200906
-0.277617407,0.770870976,0.113446813,0.000592975
-0.299831924,0.794368014,0.127440206,0.001100184
-0.306669354,0.802541344,0.135170899,0.001316804
-0.334774631,0.823366907,0.150617805,0.000753905
-0.340670604,0.827440315,0.157069636,0.000282792
-0.322075768,0.815524455,0.144004718,0.000795206
-0.326831525,0.820013104,0.149283532,0.000638526
-0.313914831,0.810360012,0.142746664,0.00141072
-0.343036462,0.828920625,0.159608378,0.000234887
-0.284555334,0.779577848,0.119722928,0.00099511
-0.291388639,0.788487968,0.12738161,0.001169221
-0.268304416,0.75824877,0.104762483,0.000874089
-0.255032469,0.733646029,0.084659443,0.000444294
-0.261098578,0.742719822,0.089783757,0.000861269
-0.249109663,0.718266771,0.078115766,0.000155082
-0.25135678,0.723323565,0.078921582,0.000377102
-0.252039151,0.729394623,0.082910426,0.000432092
-0.262548636,0.748597231,0.096970905,0.000778266
-0.269872916,0.763928618,0.112186377,0.000873062
-0.27628748,0.773317734,0.119734945,0.001061371
-0.297962996,0.796854357,0.135046563,0.001075534
-0.301602549,0.799925043,0.136437851,0.000339951
-0.305509496,0.804755352,0.141598727,0.000725784
-0.329118286,0.822010769,0.151850948,0.000641062
-0.334787778,0.826375422,0.15813033,0.000814819
-0.321081114,0.81762983,0.150408264,0.001559563
-0.312837043,0.812507552,0.149174641,0.000737319
-0.307980902,0.807423192,0.144141314,0.000637649
