X (m),Y (m),Z (m),Dx
0,0.008192018,0.177423908,6.00E-05
-2.677E-06,0.008164533,0.179608926,5.52E-05
-1.385E-05,0.012061285,0.177498663,5.78E-05
-2.8809E-05,0.012086064,0.179550367,5.16E-05
-3.0043E-05,0.004290754,0.17959009,6.29E-05
-3.4028E-05,0.015933901,0.177672076,5.61E-05
-4.0097E-05,0.019792922,0.177732275,5.55E-05
-5.0034E-05,0.004321695,0.177209923,6.28E-05
-5.5439E-05,0.015967639,0.179663359,4.79E-05
-6.0422E-05,0.001181362,0.179356302,4.12E-05
-7.2166E-05,0.019803764,0.179678139,4.69E-05
-8.5965E-05,0.023668414,0.177649697,5.84E-05
-0.000108876,0.023673217,0.17967734,4.89E-05
-0.000128686,0.001188471,0.176871822,3.90E-05
-0.000128812,0.027562146,0.177578835,5.85E-05
-0.000134545,0.001178117,0.181002193,1.24E-05
-0.000139449,0.027590653,0.179638516,5.19E-05
-0.000161463,0.004272201,0.181116659,1.81E-05
-0.000177105,0.03144801,0.17761644,5.69E-05
-0.000198657,0.031497898,0.179672506,5.14E-05
-0.000216162,0.006964359,0.181316579,5.10E-06
-0.000230479,0.035331814,0.177628816,5.93E-05
-0.000238688,0.008723877,0.181121869,1.96E-05
-0.000247563,0.015913123,0.175281121,6.84E-05
-0.000253282,0.035351437,0.179720243,5.13E-05
-0.000254205,0.038594147,0.179373693,2.59E-05
-0.000254836,0.012039818,0.175053142,6.98E-05
-0.000259261,0.008178186,0.174892768,7.13E-05
-0.000264248,0.039244017,0.177676553,5.72E-05
-0.000270968,0.019788433,0.175330447,6.98E-05
-0.000276757,0.004304643,0.174623941,7.22E-05
-0.000312833,0.043132384,0.17781135,5.41E-05
-0.000328262,0.023670519,0.175199091,7.00E-05
-0.000334615,0.001178795,0.174279105,4.32E-05
-0.0003395,0.039914414,0.180016846,2.52E-05
-0.000349961,0.043143847,0.179776728,4.90E-05
-0.000371549,0.027563344,0.175159652,6.86E-05
-0.00039401,0.046975674,0.177684905,6.02E-05
-0.000408231,0.031446779,0.175196313,6.94E-05
-0.000419886,0.046973727,0.179788141,5.02E-05
-0.000435198,0.012062761,0.181438336,4.95E-05
-0.000437029,0.015976498,0.181470591,4.61E-05
-0.000459793,0.035335279,0.175185056,6.92E-05
-0.000464949,0.019813589,0.181490634,4.84E-05
-0.000475947,0.05081648,0.177525657,6.33E-05
-0.000487024,0.004294158,0.181887792,2.21E-05
-0.000488591,0.001181542,0.181852004,1.49E-05
-0.000495048,0.008158338,0.18199109,2.00E-05
-0.000495244,0.03923869,0.175272691,6.99E-05
-0.000514758,0.001143683,0.387443192,2.86E-05
-0.000515136,0.050813832,0.179700313,5.11E-05
-0.000531234,0.043125976,0.175422814,7.05E-05
-0.000532579,0.004238686,0.387213925,5.04E-05
