X (m),Y (m),Z (m),Dx
0,0.008156775,0.177632234,0.000123698
-7.0266E-06,0.004301269,0.179643097,0.000106114
-1.89406E-05,0.004295052,0.177431616,0.000125069
-2.49043E-05,0.012040598,0.177633435,0.000120853
-3.31405E-05,0.008165446,0.179741982,9.66E-05
-5.29377E-05,0.001182734,0.179359265,7.72E-05
-6.50528E-05,0.012048929,0.179716798,9.93E-05
-0.000111492,0.004955858,0.180808387,1.18E-05
-0.000133621,0.001182659,0.176937012,7.78E-05
-0.000151003,0.001181388,0.18097258,2.64E-05
-0.000202807,0.004307645,0.181171076,3.08E-05
-0.00022886,0.017845865,0.176221573,0.000515884
-0.00024938,0.008155495,0.175133178,0.000136747
-0.000260734,0.039204925,0.178101775,6.75E-05
-0.000263129,0.012035466,0.175195137,0.000135279
-0.000266422,0.007007334,0.181401912,6.07E-06
-0.000268002,0.004285161,0.174862301,0.00014224
-0.000269673,0.008183785,0.181179505,4.13E-05
-0.000322019,0.025626009,0.176240625,0.000535222
-0.00032455,0.033401151,0.176946725,0.000388108
-0.000333315,0.0398555,0.177149428,5.16E-05
-0.000358875,0.043105509,0.177621089,0.000114102
-0.000360248,0.001174583,0.174336044,8.69E-05
-0.000368582,0.017866988,0.180577585,0.000378185
-0.000417359,0.046995164,0.177706093,0.000108874
-0.000438905,0.046997673,0.179738556,0.00010212
-0.000449736,0.004307352,0.181816833,3.69E-05
-0.000464046,0.012068961,0.18156023,9.32E-05
-0.000485268,0.001181589,0.181815028,2.73E-05
-0.000491497,0.050825878,0.177674369,0.00011036
-0.000493463,0.025640042,0.180611942,0.000387175
-0.000508692,0.008185286,0.182008492,3.94E-05
-0.000535399,0.050819847,0.179713745,0.000100472
-0.000539248,0.034688046,0.174697138,0.000130835
-0.000539566,0.039220115,0.175196473,0.000134586
-0.000576884,0.043121187,0.175303778,0.000133611
-0.000591961,0.033415719,0.180635207,0.000381867
-0.000612739,0.00308075,0.388965023,0.000394374
-0.00061347,0.054682079,0.177511641,0.000113357
-0.000615924,0.046998401,0.175399087,0.000130202
-0.000630199,0.041188186,0.180637854,0.000391015
-0.000636359,0.010056499,0.388570198,0.000511026
-0.000652962,0.008143687,0.172234913,0.000164227
-0.000660872,0.012019238,0.172342408,0.000162296
-0.00067369,0.004270333,0.171960568,0.0001593
-0.000683916,0.017842477,0.388484423,0.000522239
-0.000691613,0.050844223,0.175359972,0.000128795
-0.000727019,0.058581188,0.177429165,0.000115358
-0.000751896,0.001165766,0.171508926,9.04E-05
-0.000753198,0.025600174,0.388491485,0.000525505
-0.000798254,0.003099566,0.395009329,0.000509387
-0.000815764,0.05470439,0.175148268,0.000133908
-0.000816363,0.010079618,0.394812999,0.000662051
-0.000834659,0.033353771,0.388482851,0.000528785
-0.000864769,0.039206483,0.387110823,0.000115879
-0.000864985,0.003089012,0.384330224,0.000310295
-0.000867855,0.017840853,0.394791955,0.000662902
-0.000868855,0.047010998,0.18160843,9.14E-05
-0.000908859,0.010077144,0.38399823,0.000367972
-0.000919057,0.039205496,0.38985649,0.000144204
-0.000929486,0.017868702,0.383951033,0.00034878
-0.000933547,0.058592715,0.175002833,0.000140005
-0.000934835,0.04308203,0.387183013,0.000114346
-0.000938662,0.050840684,0.181575397,9.19E-05
-0.000939747,0.039230485,0.172376047,0.000160864
-0.00094436,0.025604855,0.394814663,0.000660474
-0.000981305,0.043124876,0.172452935,0.000165048
-0.000981973,0.043084341,0.389871206,0.000140145
-0.000994109,0.025607392,0.383923337,0.000345065
-0.001004411,0.046955268,0.387099545,0.000116163
-0.001019289,0.064426045,0.176060436,0.000524394
-0.001021061,0.017830319,0.170638724,0.000670011
-0.001025402,0.047001737,0.172542533,0.00016582
-0.001037168,0.033381531,0.394804813,0.000665715
-0.001038569,0.056652431,0.180475586,0.000406324
-0.001043011,0.039207521,0.393074542,0.000157734
-0.001043208,0.046966105,0.389743962,0.000134914
-0.001087658,0.05083841,0.387082252,0.000109766
-0.001088673,0.033370766,0.383898588,0.000358713
-0.001095167,0.00431012,0.183006761,8.64E-05
-0.001102521,0.050859924,0.172510703,0.000165954
-0.001106802,0.043088593,0.393056547,0.000158983
-0.001116533,0.050849711,0.389713867,0.000140691
-0.00112133,0.025620035,0.170526653,0.00066367
-0.001139607,0.003101243,0.402214018,0.000558268
-0.001163791,0.010078366,0.402180627,0.000702627
-0.001170728,0.046973385,0.392930752,0.000165072
-0.001174519,0.001185768,0.183080596,5.28E-05
-0.001184025,0.00818746,0.183150321,8.44E-05
-0.001194603,0.039210203,0.396583502,0.000169689
-0.001198109,0.033399975,0.170595743,0.000669374
-0.001205378,0.012061479,0.183194734,7.92E-05
-0.001210576,0.00813363,0.168961734,0.000175073
-0.001219027,0.012010043,0.169078429,0.000176908
-0.00121913,0.017836704,0.402172158,0.000706565
-0.001225602,0.054725154,0.172317962,0.000160673
-0.001228573,0.064460315,0.180582516,0.000415338
-0.001228884,0.004261598,0.168755581,0.000173094
-0.00124495,0.072232884,0.17602863,0.000528769
-0.001246858,0.050857146,0.392947122,0.000163546
-0.001254253,0.041174901,0.38381421,0.000384481
-0.001260172,0.043092722,0.396577001,0.000169892
-0.001277416,0.001162988,0.168486879,9.80E-05
-0.001281158,0.056706137,0.388725376,0.000511969
-0.001301546,0.025604486,0.402179333,0.00070727
-0.001329528,0.046976465,0.39654381,0.000172958
-0.001341132,0.058607639,0.172177458,0.000155616
-0.001359376,0.04890924,0.383944632,0.000372766
-0.001397778,0.033379825,0.402196142,0.000706036
-0.001404653,0.050859514,0.396547533,0.000173132
-0.001406689,0.072267533,0.180536221,0.000421674
-0.001466067,0.056681005,0.394903838,0.000660832
-0.001466921,0.06447843,0.388656396,0.000514909
-0.001470428,0.080027494,0.176118119,0.000522089
-0.001507718,0.039232665,0.169137884,0.000177149
-0.001514748,0.041154333,0.402198035,0.000703495
-0.001537059,0.056725359,0.384115228,0.000375905
-0.001561797,0.043121972,0.169163592,0.000177969
