X (m),Y (m),Z (m),DX
-0.165372229,0.599879706,0.630039504,2.85E-05
-0.16444734,0.599805386,0.627520205,8.36E-06
-0.164935765,0.598416828,0.6312,2.33E-05
-0.164821993,0.599082646,0.629154543,1.98E-05
-0.165067226,0.600265963,0.628350937,1.37E-05
-0.164580151,0.600972734,0.626589204,1.65E-05
-0.165649237,0.599452486,0.631877803,1.45E-05
-0.166308669,0.599988604,0.633285766,8.22E-07
-0.165566051,0.601948042,0.627715351,3.80E-05
-0.165907533,0.603149572,0.6271059,1.50E-05
-0.166327427,0.600774836,0.631603597,1.68E-05
-0.165511143,0.599029607,0.633153377,6.58E-06
-0.164677462,0.59790896,0.632371744,2.11E-06
-0.194775654,0.627608805,0.653376851,3.76E-05
-0.194131609,0.626450584,0.653787903,4.32E-06
-0.16629176,0.648008692,0.581590126,0.002717624
-0.161008068,0.636773592,0.584048601,0.000839661
-0.161228776,0.622380663,0.601269758,0.000293035
-0.174888313,0.623838302,0.625662121,5.20E-05
-0.170999155,0.616182481,0.625501332,6.79E-05
-0.153835625,0.607070849,0.601060952,0.00030918
-0.162484548,0.596255724,0.627321351,4.35E-05
-0.15973645,0.601050324,0.61788445,6.64E-05
-0.163767151,0.601017389,0.625132553,3.34E-05
-0.163979568,0.598419889,0.627973047,2.46E-05
-0.164090965,0.599536448,0.627130354,1.32E-05
-0.164364741,0.597510106,0.630877103,1.99E-05
-0.164530337,0.598105094,0.629510722,5.30E-06
-0.163824757,0.59664152,0.630549002,2.07E-05
-0.163764118,0.597192184,0.628630294,1.93E-05
-0.164097284,0.602920823,0.624176294,4.23E-05
-0.163655809,0.604599841,0.622083962,6.96E-05
-0.164831179,0.602330777,0.625913548,1.84E-05
-0.167062137,0.612547067,0.621669012,6.15E-05
-0.168443507,0.621262269,0.616452986,0.000361555
-0.168195175,0.615720683,0.620987845,0.000133489
-0.168524899,0.611675436,0.624937104,0.000149314
-0.169658107,0.614951531,0.624214822,7.67E-05
-0.166028743,0.600442669,0.631139122,2.63E-05
-0.165993105,0.599608961,0.63323236,1.66E-06
-0.166299608,0.600096583,0.633838739,3.85E-06
-0.164590397,0.604689404,0.62366712,2.01E-05
-0.164618125,0.608061279,0.621003229,0.000137305
-0.165243783,0.605305785,0.624322317,1.95E-05
-0.16610837,0.604723576,0.626255249,4.88E-05
-0.166620141,0.602130335,0.629959051,3.95E-05
-0.169339148,0.608543051,0.628792706,2.39E-05
-0.167585659,0.608196496,0.626085682,7.68E-05
-0.157755496,0.591815084,0.621356306,1.98E-05
-0.156582419,0.593325591,0.618128105,0.000103738
-0.15668468,0.589529159,0.621131473,5.74E-05
-0.15634554,0.587758167,0.621820438,3.17E-05
-0.152625841,0.581858785,0.619274834,5.81E-05
-0.146168627,0.598500725,0.592689864,0.000521206
-0.145539929,0.604301827,0.585267377,0.001061054
-0.152707802,0.589555256,0.613793991,7.67E-05
-0.153873961,0.614591319,0.593614124,0.00031405
-0.149339778,0.605916619,0.592468377,0.000530519
-0.150226069,0.617622186,0.581503235,0.002246009
-0.161204155,0.614838294,0.608666335,0.000298559
-0.156314834,0.613541946,0.599961295,0.000574305
-0.148657045,0.577902495,0.614680265,8.02E-05
-0.150657548,0.58020589,0.616794098,4.63E-05
-0.151284356,0.582146598,0.616592432,4.21E-05
-0.127946414,0.569569385,0.577283201,0.000802417
-0.176415237,0.652214526,0.599046179,0.000917098
-0.176806627,0.637485317,0.616220164,0.000324284
-0.182607993,0.631412111,0.631883624,0.000141435
-0.18317077,0.626239219,0.637204776,0.000131334
-0.186098169,0.626068525,0.64192407,9.67E-05
-0.151678406,0.579491493,0.619224448,3.50E-05
-0.150272774,0.578495114,0.617267473,2.25E-05
-0.15239118,0.579975339,0.620261124,3.19E-05
-0.153511762,0.585310713,0.618382474,0.000138002
-0.154328886,0.581480201,0.623938507,4.29E-05
-0.167508783,0.603444514,0.63092287,9.89E-05
-0.169402931,0.605422581,0.633375553,3.25E-05
-0.170277105,0.607232571,0.631898882,7.78E-05
-0.17136293,0.610763608,0.630625274,0.000109535
