X (m),Y (m),Z (m),DX
0,0.009151955,0.177609362,0.000158038
-3.64681E-06,0.012031393,0.179631572,7.44E-05
-1.83864E-05,0.004310631,0.179636166,9.92E-05
-2.11509E-05,0.001177838,0.179321625,6.15E-05
-3.5527E-05,0.008203459,0.179810006,8.84E-05
-8.86276E-05,0.001172562,0.181002085,1.80E-05
-0.000135671,0.004299319,0.181182439,2.19E-05
-0.000196946,0.007007639,0.181404422,4.39E-06
-0.000198132,0.017786944,0.176009867,0.00038408
-0.000207396,0.008758614,0.181195395,1.67E-05
-0.000215598,0.003143547,0.17552163,0.000328897
-0.000242399,0.01010429,0.174955068,0.000239727
-0.000273376,0.025581094,0.176048628,0.000388057
-0.000348863,0.017802028,0.180446508,0.000290686
-0.000372355,0.033390593,0.175980649,0.000377654
-0.000384764,0.012033553,0.181474695,6.60E-05
-0.000424013,0.008187101,0.181938758,3.69E-05
-0.000461274,0.001170879,0.1818612,2.17E-05
-0.000466934,0.025596456,0.180501345,0.000303985
-0.000474705,0.004294446,0.181927357,3.52E-05
-0.00049504,0.041147216,0.175906041,0.000377984
-0.000525781,0.047596744,0.176775351,0.000190611
-0.000541237,0.0012187,0.385652629,4.41E-05
-0.000546928,0.033409077,0.18043513,0.000308514
-0.000548548,0.003131685,0.389309671,0.000269859
-0.000556295,0.008761105,0.388105035,0.000164342
-0.000557984,0.004356895,0.38531053,6.72E-05
-0.000600907,0.01131664,0.3899126,0.000162916
-0.000616324,0.041179526,0.180335225,0.000303827
-0.000634332,0.016486826,0.389907904,0.000164599
-0.000637759,0.019089563,0.388126923,0.000169797
-0.000709886,0.025612248,0.388936178,0.000335901
-0.000732469,0.050194982,0.175126813,0.000191395
-0.000744756,0.003101007,0.395370867,0.000315021
-0.000751072,0.048936512,0.180380827,0.00029939
-0.00076133,0.010073177,0.395144348,0.000404323
-0.000785746,0.056675038,0.176069394,0.000395528
-0.000794744,0.033397665,0.3889693,0.000337524
-0.000799641,0.009974547,0.38430092,0.000244692
-0.000814613,0.017832904,0.39513687,0.000406799
-0.00086026,0.00448466,0.383315322,5.76E-05
-0.00087773,0.001327707,0.383520597,4.63E-05
-0.000890056,0.025607742,0.395124458,0.00041149
-0.000912647,0.041170295,0.389134861,0.00032703
-0.000922145,0.017753152,0.384338202,0.000266381
-0.000954186,0.056711194,0.180562218,0.000299282
-0.000970509,0.010096913,0.170234092,0.000468584
-0.000984742,0.033386643,0.395140943,0.000411525
-0.000985741,0.064477595,0.175986784,0.000393163
-0.000999903,0.003123541,0.169877732,0.000367662
-0.001004847,0.017823577,0.170390934,0.000470341
-0.001015288,0.025629702,0.384253419,0.000254848
-0.00105362,0.048935191,0.389064478,0.000328337
-0.001069956,0.025602194,0.170439662,0.000474682
-0.001079878,0.003100742,0.402371927,0.000342558
-0.001083855,0.033420043,0.384278107,0.000259545
-0.001101399,0.010080289,0.402298744,0.000434461
-0.00110455,0.041160539,0.395185477,0.000404713
-0.001123011,0.064520718,0.18048134,0.000303327
-0.001156303,0.017844233,0.40229012,0.000436065
-0.001164811,0.033388333,0.170399259,0.000475224
-0.001173087,0.041196538,0.38446655,0.000260464
-0.001187397,0.072255474,0.17597999,0.000378053
-0.001218987,0.05670351,0.388967392,0.000335502
-0.00123671,0.02561452,0.402303878,0.000434219
