X (m),Y (m),Z (m),DX
0,0.004283938,0.179584542,0.000112175
-3.77338E-05,0.001179796,0.179380226,8.13E-05
-3.8414E-05,0.008138462,0.179547477,0.000102652
-8.33805E-05,0.004587997,0.180733503,8.56E-06
-9.26795E-05,0.012020259,0.179477217,0.000107331
-0.000101759,0.000779586,0.180886006,1.39E-05
-0.000123728,0.005878931,0.180883039,3.67E-06
-0.000155352,0.007492811,0.180715154,1.42E-05
-0.000155685,0.004272344,0.181094951,3.30E-05
-0.000180905,0.001557387,0.181179769,1.24E-05
-0.000190248,0.010076624,0.175946554,0.000540831
-0.00024175,0.006977256,0.181404063,6.18E-06
-0.000248949,0.017832025,0.176042869,0.000523711
-0.000278709,0.003105349,0.175648755,0.000458039
-0.000290138,0.008711551,0.181186512,3.59E-05
-0.000310269,0.025613067,0.176191095,0.000530228
-0.000398068,0.033400179,0.176152532,0.000529662
-0.000404882,0.017832245,0.180468104,0.000414901
-0.000465234,0.004275527,0.18186601,4.12E-05
-0.000469707,0.025620498,0.180521949,0.000404032
-0.000472651,0.008137162,0.181968963,4.15E-05
-0.000487039,0.001171554,0.181858903,2.75E-05
-0.000491629,0.012023274,0.181433611,0.00010508
-0.000507152,0.04118314,0.176127917,0.00052841
-0.000556413,0.033415229,0.180487203,0.000402048
-0.00059945,0.003110968,0.389213939,0.000409992
-0.000613799,0.010094991,0.388752136,0.000521932
-0.00063659,0.048960845,0.176118297,0.000521885
-0.000660051,0.041201815,0.180463896,0.000406122
-0.000660885,0.017845499,0.388672196,0.000514718
-0.000724794,0.025622774,0.388559123,0.000519069
-0.000780132,0.05671336,0.176144447,0.000514791
-0.000783225,0.003102988,0.395262763,0.000498467
-0.000785555,0.048983397,0.18045035,0.000408715
-0.00079997,0.010085079,0.395007081,0.00064802
-0.000814355,0.033405336,0.388618473,0.000508126
-0.000833518,0.003121083,0.384472798,0.000319587
-0.000850771,0.017846426,0.394920208,0.000658418
-0.000917891,0.056742113,0.180447263,0.00040763
-0.000923198,0.025619971,0.394862795,0.000670546
-0.000925708,0.01015826,0.383974491,0.000397204
-0.000926442,0.041165301,0.388785409,0.000500516
-0.000945662,0.02562826,0.384022861,0.000356813
-0.000959467,0.017898924,0.383958106,0.000385744
-0.000966134,0.064455653,0.17627717,0.000517678
-0.000986266,0.0100762,0.170355657,0.000664019
-0.001014786,0.03339609,0.39485922,0.000669603
-0.001019583,0.003101002,0.1700068,0.000515158
-0.001024417,0.017833575,0.170476184,0.000666921
-0.001066583,0.048922614,0.388937075,0.000501258
-0.001085301,0.033460743,0.383996306,0.000388719
-0.001097532,0.025614091,0.170537008,0.000684553
-0.001111374,0.064480772,0.180575491,0.000402669
-0.0011197,0.003101499,0.402310248,0.000547161
-0.001135916,0.041162066,0.394931686,0.000662024
-0.001143409,0.010082316,0.402249413,0.00069262
-0.001181884,0.072234886,0.176148977,0.000518111
-0.001198907,0.017844969,0.402228847,0.000699005
-0.001200047,0.033398051,0.170480403,0.000685591
-0.001238313,0.056669061,0.38891548,0.000510913
-0.001247413,0.04126776,0.384049637,0.000415399
-0.001279325,0.025614628,0.402228042,0.000701254
-0.001279714,0.048921201,0.395012474,0.00065126
-0.001310488,0.041175762,0.170472714,0.000685471
-0.001318289,0.003110433,0.183294061,0.00017803
-0.001327237,0.010101988,0.183435161,0.000216862
-0.001330177,0.07226476,0.180499225,0.000424101
-0.001375823,0.033385454,0.402217959,0.000704014
-0.0013768,0.048979722,0.384250097,0.00040258
-0.001408798,0.080010229,0.176089118,0.000522571
-0.001425653,0.01785772,0.18341723,0.000219765
-0.001435179,0.008894054,0.381563721,7.35E-05
-0.00143589,0.048946665,0.170487234,0.000682822
-0.001444307,0.064439353,0.388955124,0.000519495
-0.001445097,0.056677084,0.395014424,0.000648789
-0.001453294,0.0031257,0.381693384,0.00012268
-0.001466537,0.025636652,0.183423089,0.00021881
-0.001495601,0.041154351,0.402226424,0.000703237
-0.001510419,0.019214087,0.381599033,6.46E-05
-0.00151716,0.033439244,0.183337353,0.000207457
-0.001542884,0.032191449,0.381721154,6.30E-05
-0.001544732,0.02563719,0.381591313,0.000128022
-0.00156497,0.003101862,0.409794085,0.000554695
-0.001567589,0.056691258,0.384149815,0.000413791
-0.001588715,0.056701953,0.170534714,0.000683195
-0.001589843,0.01008278,0.409804441,0.00069514
-0.001597265,0.041226749,0.183307558,0.00020367
-0.001614506,0.080077846,0.180555207,0.000433903
-0.0016333,0.048920226,0.402234745,0.000704165
-0.001640677,0.064444135,0.395073709,0.000655154
-0.001641919,0.017842938,0.409808994,0.00069793
-0.00167239,0.072230442,0.389053035,0.000517914
-0.001677891,0.087768251,0.176162442,0.000536371
-0.001707071,0.049010094,0.183314746,0.000204204
-0.001730434,0.025608639,0.409812784,0.000699544
-0.001766946,0.064458437,0.170609735,0.000692998
-0.001793887,0.056778108,0.183242842,0.000189893
-0.00180042,0.056682706,0.40222489,0.000709485
-0.001801867,0.064494168,0.384124348,0.000431922
-0.001839348,0.033378643,0.409810185,0.000702429
-0.0018616,0.07221747,0.395153521,0.00065425
-0.001905405,0.087842757,0.1807077,0.000437153
-0.001912407,0.080002578,0.389012119,0.000526631
-0.001944816,0.064527445,0.183252934,0.000168181
-0.001956077,0.095568685,0.176108406,0.000525738
-0.001959513,0.041149152,0.409804922,0.000704865
-0.00197515,0.071003943,0.182973265,8.23E-05
-0.001986395,0.072236697,0.170545215,0.000685798
-0.002001081,0.064447813,0.4022613,0.000706329
-0.002007978,0.072311504,0.384275269,0.000418108
-0.002096592,0.00310229,0.417313952,0.000544729
-0.002097137,0.048917084,0.409809073,0.000707276
-0.002100632,0.079985176,0.39514787,0.000655967
-0.002127546,0.010084009,0.417381065,0.000686624
-0.002139373,0.095621031,0.180632414,0.000448264
-0.002167635,0.087764674,0.388948469,0.000523718
-0.00217829,0.017843698,0.417405022,0.000691246
-0.002211234,0.080072751,0.384253213,0.00040416
-0.002220439,0.072214304,0.402294885,0.000702476
-0.002231048,0.103350136,0.176196912,0.000524937
-0.002233346,0.080017702,0.170427423,0.000684316
-0.002264383,0.00310144,0.163613801,0.000572796
-0.002265841,0.025608017,0.417418108,0.000694351
-0.002266657,0.056681207,0.40981201,0.000709406
-0.002284357,0.0100773,0.163727416,0.000744532
-0.002341907,0.017840728,0.163777674,0.000761635
-0.002361279,0.087747883,0.395093543,0.000662377
-0.002375905,0.033377842,0.417418459,0.00069681
-0.002394178,0.10340106,0.180719357,0.000437212
-0.002422159,0.025623719,0.163774398,0.000761241
-0.002437821,0.087820304,0.384222328,0.000402673
-0.002446138,0.095526808,0.388725711,0.000540172
-0.002458601,0.079978895,0.402291486,0.000705941
-0.002466305,0.064444507,0.409807701,0.000711054
-0.0024946,0.041147975,0.417415082,0.000698525
-0.002501012,0.087784504,0.170387682,0.000695778
-0.002522194,0.03340544,0.163738514,0.000753171
-0.002524059,0.010174191,0.380175639,0.000229312
-0.002525422,0.010114985,0.185174315,0.00015562
-0.00254105,0.003114046,0.185155189,0.000131106
-0.002551808,0.111104436,0.176254213,0.000541779
-0.002579187,0.017917285,0.380156799,0.000239093
-0.002602357,0.017871557,0.185206362,0.000155305
-0.002608029,0.025652802,0.380048566,0.000194066
-0.002633321,0.041179225,0.163741739,0.000751463
-0.002641235,0.048922705,0.41744807,0.000707072
-0.002643852,0.033487296,0.380287195,0.000245078
-0.00264942,0.095511432,0.395007718,0.000678028
-0.002673391,0.025656171,0.185219133,0.000162277
-0.0026848,0.111144341,0.180801095,0.000424881
-0.002686265,0.072220055,0.409825298,0.000719259
-0.002696052,0.095575272,0.3839951,0.000391046
-0.002711837,0.033461904,0.18513154,0.000171536
-0.002715679,0.003102115,0.424734789,0.00053258
-0.002718516,0.003129201,0.379991132,0.000162211
-0.002723439,0.08775636,0.402296009,0.000717403
-0.002759714,0.103323863,0.388755281,0.000546926
-0.00276142,0.048946171,0.163765055,0.000749326
-0.002761792,0.041304387,0.380486859,0.000302822
-0.002764226,0.010085638,0.424925602,0.000679765
-0.002774665,0.095563331,0.170415726,0.000691024
-0.002794679,0.041253116,0.185106603,0.000177307
-0.002814573,0.056694635,0.417470104,0.000712099
-0.002818647,0.017851872,0.424977691,0.000684187
-0.002895202,0.025621225,0.4250064,0.00068611
-0.002902319,0.049032267,0.380634013,0.000318065
-0.002909591,0.118863237,0.176159404,0.000543608
-0.002916345,0.049041423,0.185143161,0.000182556
-0.002927455,0.079995416,0.409841026,0.000722562
-0.002935849,0.056707073,0.163711142,0.000769294
-0.002967558,0.10328976,0.395020975,0.000677489
-0.002972164,0.118898301,0.180725091,0.000425306
-0.002984248,0.103349274,0.384061228,0.000385694
-0.002988825,0.056816389,0.18506515,0.00019586
-0.002993475,0.03338923,0.425002701,0.000687338
-0.003008748,0.064457535,0.417453585,0.000713705
-0.003020912,0.095530045,0.402296839,0.000720922
-0.003056994,0.103332099,0.170490678,0.000682706
-0.003087878,0.07235433,0.184619408,0.000297524
-0.003097966,0.111118547,0.388805401,0.000531983
-0.003105814,0.080150897,0.184283304,0.000364341
-0.00310887,0.04115689,0.42496905,0.000683919
-0.003117538,0.064470807,0.163746445,0.000768819
-0.003125366,0.056767454,0.380524564,0.000318735
-0.003135491,0.064584987,0.185047483,0.00021077
-0.003195142,0.087770215,0.409849337,0.000721722
-0.003230372,0.07223179,0.417463068,0.000713973
-0.003257284,0.048931352,0.42499081,0.000680375
-0.003286736,0.126688875,0.18066723,0.000421731
-0.003287957,0.12664672,0.176130467,0.000545748
-0.003308417,0.1110746,0.39499225,0.000674735
-0.003308959,0.111118213,0.384202834,0.000376765
-0.00331937,0.072239827,0.163774255,0.000758294
-0.003341561,0.103297355,0.402273535,0.000722453
-0.003368582,0.003101522,0.431598418,0.000456645
-0.003369673,0.064603561,0.380472649,0.000317093
-0.003374231,0.111090564,0.170539415,0.000668744
-0.003429592,0.087939981,0.184445438,0.000357987
-0.003429935,0.056704036,0.424993136,0.00067398
-0.003441415,0.010082764,0.431992471,0.000590788
-0.003457391,0.118863279,0.388730904,0.000534478
-0.003476855,0.08000437,0.41746524,0.00070901
-0.003494809,0.09553828,0.409850651,0.000716833
-0.003503849,0.0178552,0.43210546,0.000602694
-0.00357066,0.080014922,0.16368358,0.000750705
-0.003576746,0.025627816,0.432138732,0.000600798
-0.003621807,0.064464942,0.424971917,0.000676166
-0.003626658,0.095722178,0.18442056,0.00036366
-0.003671481,0.03339068,0.432142488,0.000605152
-0.003674932,0.1188364,0.394962638,0.000678039
-0.003675503,0.118832817,0.384089784,0.000378646
-0.003683565,0.111062237,0.402228922,0.000723296
-0.003689994,0.13447576,0.180758483,0.000404471
-0.003696744,0.134423834,0.176262593,0.000544777
-0.003713435,0.072488673,0.380482736,0.000356437
-0.003744772,0.087760305,0.417435659,0.000709761
-0.003746563,0.11885107,0.170431516,0.000664122
-0.003781603,0.041160229,0.432033016,0.00059918
-0.003815596,0.103286656,0.409818319,0.000720024
-0.003837289,0.087784957,0.163681452,0.000727264
-0.003843224,0.072222708,0.42497025,0.000681755
-0.003847556,0.12659997,0.388750829,0.000538787
-0.003885371,0.103502687,0.184478327,0.000360351
-0.00389574,0.08024179,0.380459874,0.00035637
-0.003924534,0.048929178,0.432002676,0.000598224
-0.003929401,0.003103812,0.156870675,0.000574995
-0.003970311,0.010084802,0.156858498,0.000714666
