X (m),Y (m),Z (m),DX
-2.990752796,0.007157402,1.090787011,0.000349893
-3.006252538,0.037674551,1.082155222,0.000673376
-2.990717707,0.022101363,1.090649042,0.000364522
-2.975411446,0.007159558,1.098995257,4.65E-05
-3.006952611,0.053265484,1.081572557,0.000704771
-3.023210483,0.068856765,1.072457876,0.000942302
-2.990685803,0.037674483,1.090502769,0.000329773
-2.975376976,0.022104523,1.098846099,5.68E-05
-2.959847577,0.007160374,1.107196858,-0.000244319
-2.99648909,0.055848363,1.087207145,8.79E-05
-3.007643883,0.068856042,1.080984146,0.000739914
-3.023160912,0.084429363,1.072237278,0.000953533
-2.989380137,0.053255133,1.091037935,0.000211925
-2.975341935,0.03767654,1.098678932,5.20E-05
-2.95981501,0.022106713,1.107053675,-0.000245019
-2.944391531,0.007162941,1.115148523,-0.000435349
-2.995798342,0.068836145,1.087432125,0.000155047
-3.023101801,0.100000322,1.071974578,0.00094888
-3.007594321,0.084428592,1.08077629,0.000745221
-2.988014974,0.068836114,1.09160493,0.000106171
-2.975302312,0.05324976,1.098513311,4.15E-05
-2.959781335,0.037679549,1.106872717,-0.000211052
-2.944368401,0.022114017,1.115028351,-0.000483536
-2.928829759,0.007162941,1.123105262,-0.000571675
-2.897779054,0.007162474,1.138839487,-0.001115768
-2.995638207,0.084410052,1.087320031,0.000157912
-3.007535525,0.100000813,1.080524984,0.000730867
-2.913339785,0.007162756,1.131021521,-0.000932935
-2.987854908,0.084409936,1.0915213,6.86E-05
-2.975262682,0.068822981,1.098347695,1.19E-05
-2.959742781,0.053253293,1.106683613,-0.000180255
-2.9443486,0.037689991,1.114880627,-0.000487934
-2.92880696,0.022114346,1.12299586,-0.000636944
-2.866614919,0.007163548,1.154095274,-0.001442307
-2.882171392,0.007163548,1.146499386,-0.001345456
-2.89775104,0.02211293,1.138730067,-0.001189139
-3.007463177,0.115566403,1.080190462,0.000678876
-2.995418857,0.099981189,1.087180897,0.000158649
-2.913313606,0.022113676,1.130898906,-0.001009867
-2.987636595,0.099982292,1.091396133,2.82E-05
-2.97522309,0.084396224,1.098181062,-2.63E-05
-2.95970422,0.068827037,1.106494512,-0.0001566
-2.944320629,0.053263131,1.114716777,-0.000481664
-2.928788118,0.037691275,1.122879369,-0.000667531
-2.850971407,0.007159339,1.161661005,-0.001826822
-2.866598033,0.022114987,1.154031569,-0.00158486
-2.882155096,0.022115203,1.146424035,-0.001487845
-2.897723055,0.037689046,1.138584956,-0.001156635
-2.995007122,0.11554871,1.086981027,0.000162058
-2.987226767,0.115552154,1.091169927,3.45E-05
-2.913286398,0.037690055,1.130764349,-0.001016807
-2.975166446,0.099955184,1.097931272,-6.29E-05
-2.959665641,0.084400748,1.106303622,-0.000152071
-2.944283439,0.068835305,1.114537079,-0.000467983
-2.928761405,0.053265666,1.122756446,-0.000696399
-2.83541865,0.007157486,1.169029105,-0.001787181
-2.617217707,0.00215342,1.261961956,-0.000212427
-2.850944769,0.022105444,1.161579102,-0.001980998
-2.866585465,0.037689902,1.153944795,-0.001607017
-2.882143847,0.037691413,1.146318999,-0.001513758
-2.897695412,0.053265312,1.138428697,-0.001131181
-2.993360276,0.13113744,1.087291929,0.000235703
-2.986227327,0.128553686,1.09121366,2.28E-05
-2.975492563,0.115534004,1.097306327,-4.70E-05
-2.913259007,0.053266483,1.130629882,-0.001038571
-2.959609093,0.09995918,1.106001554,-0.000152666
-2.944236709,0.084399143,1.114324841,-0.000464596
-2.928725473,0.06883909,1.122617675,-0.000715419
-2.613171523,0.003241863,1.263331112,-0.001008894
-2.835392843,0.022099815,1.16894,-0.001930504
-2.819677163,0.007157588,1.176388688,-0.002216573
-2.619317033,0.00323013,1.261240987,-0.000735688
-2.622838771,0.004461033,1.26003028,-0.000318576
-2.622818262,0.001288271,1.260040069,-0.000221188
-2.613492364,0.010341906,1.26321159,-0.001225582
-2.61784072,0.011509178,1.261736121,-0.000289586
-2.850919481,0.037678273,1.161462096,-0.001967693
-2.866562638,0.053257756,1.153808132,-0.001612887
-2.882122364,0.053261489,1.146181702,-0.00152743
-2.89766642,0.068836003,1.138238699,-0.001117218
-2.991932188,0.146722561,1.087458222,0.000288126
-2.976143294,0.131145054,1.096401123,-1.06E-05
-2.965079064,0.11812407,1.102619783,-2.56E-05
-2.913230341,0.068838233,1.130488584,-0.001084784
-2.958048195,0.115537973,1.106336368,-0.000135598
-2.944161184,0.099958025,1.113987514,-0.000462598
-2.928679331,0.084402935,1.122386936,-0.000707994
-2.606326845,0.010402368,1.265600351,-0.001282305
-2.606251389,0.003259836,1.265641473,-0.001037762
-2.83536799,0.037669567,1.168833571,-0.001924849
-2.819662709,0.022096997,1.176300712,-0.002417695
-2.804129153,0.007156575,1.183590807,-0.002091912
