X (m),Y (m),Z (m),DX
-4.30031899,0.007095004,0.588883609,0.000688127
-4.292802437,0.007090778,0.596166433,0.001008481
-4.300192993,0.021906761,0.588730198,0.001017671
-4.284708886,0.007094585,0.60368963,0.000602698
-4.292711992,0.021907938,0.59619063,0.001073585
-4.277190708,0.007106976,0.610535058,0.000569831
-4.299858119,0.037354164,0.588458794,0.001170527
-4.284754909,0.021924577,0.60368332,0.000550305
-4.292399098,0.0373673,0.59587967,0.00105061
-4.277254752,0.021949785,0.610356866,0.000403844
-4.266299345,0.007130184,0.6191289,-0.000522996
-4.299478873,0.052815919,0.588007012,0.001380982
-4.28450614,0.037394773,0.60335156,0.000713373
-4.292012691,0.052832921,0.595419122,0.000792166
-4.277019282,0.037420435,0.610113425,0.000355494
-4.26626846,0.021973825,0.618831125,-0.000467908
-4.250812764,0.007135175,0.630175207,0.000477152
-4.298973169,0.068275443,0.587398011,0.001704
-4.283962828,0.052860649,0.602899812,0.000929325
-4.291488812,0.068296845,0.594954477,0.000596808
-4.276479891,0.052884827,0.609761984,0.000455103
-4.26628516,0.03743994,0.618543065,-0.000330273
-4.250761442,0.021985324,0.630025627,0.000629264
-4.234979797,0.00712387,0.64107095,-0.000322955
-4.298723842,0.08376637,0.58621531,0.002268165
-4.283365224,0.068323909,0.602442771,0.00107155
-4.290769565,0.083754444,0.594435371,0.000538415
-4.275877988,0.068346525,0.609283718,0.000381988
-4.266203775,0.052938874,0.618095657,-0.000277403
-4.250803521,0.037432214,0.629972625,0.000590644
-4.234992972,0.021986555,0.640859639,-0.00064667
-4.220464189,0.007125386,0.649799518,-0.000739352
-4.297758789,0.099285632,0.585613553,0.002907806
-4.290042784,0.096679468,0.593957315,0.000270445
-4.282194304,0.083831139,0.602414619,0.001241135
-4.275238622,0.081292195,0.608986031,0.000139764
-4.266004638,0.068399784,0.617396253,-5.05E-05
-4.250582581,0.052903009,0.629652352,0.000104368
-4.235041552,0.037442948,0.640636204,-0.000855347
-4.220482333,0.022003909,0.64957034,-0.000560243
-4.205211361,0.007127865,0.657926455,-8.05E-05
-4.215049383,0.654161524,0.43244926,0.010945435
-4.203022819,0.669428987,0.432495635,0.010698993
-4.296267907,0.11473346,0.58544026,0.003047021
-4.281471507,0.099360058,0.601725647,0.00147613
-4.266123039,0.083891458,0.616289832,0.000135498
-4.250136341,0.068390391,0.62906138,-0.00017241
-4.234895123,0.052892919,0.640233008,-0.000595302
-4.220452064,0.037493955,0.649222137,-0.000309372
-4.205235579,0.022012731,0.657896477,-0.000260787
-4.190094484,0.00713789,0.665842437,-0.000125439
-4.222893568,0.641979046,0.435314245,0.005782104
-4.210933141,0.651177209,0.443888876,0.004093184
-4.198761133,0.666855423,0.444380965,0.005654157
-4.275628792,0.529529578,0.457967559,0.004922709
-4.266358563,0.562596885,0.448000591,0.008487647
-4.26181125,0.575635619,0.444036256,0.006431367
-4.279252009,0.517020606,0.460958422,0.0094826
-4.268212513,0.504624978,0.478684992,0.005532771
-4.295241329,0.130081194,0.584531988,0.003206471
-4.281199052,0.114804297,0.600402661,0.001514296
-4.266037853,0.099387249,0.615187328,0.000299739
-4.250239293,0.083887346,0.628212851,-0.000287511
-4.234615883,0.068399126,0.639643136,-0.000130134
-4.220365048,0.052985821,0.648897363,-0.00043281
-4.20520952,0.037510201,0.657709176,-0.000305136
-4.190042563,0.022023353,0.66574298,-0.000234728
-4.174786256,0.007138945,0.67330785,-0.000266278
-4.243127161,0.605805303,0.443648061,0.005067864
-4.231222429,0.622017843,0.445011941,0.006214026
-4.217409139,0.639418657,0.447010859,0.008712103
-4.20357922,0.656508303,0.448900511,0.006637149
-4.190720914,0.672627981,0.449790541,0.00521136
-4.270511247,0.55022074,0.451385319,0.002423299
-4.259355898,0.560125338,0.457809091,0.004680211
-4.267604959,0.535080364,0.463590146,0.006288712
-4.261727876,0.529646833,0.472624059,0.005673213
-4.254263567,0.581180353,0.449105875,0.00522157
-4.248803659,0.593585455,0.446324708,0.009820663
-4.264973548,0.517117666,0.475685674,0.009007147
-4.225658986,0.464524165,0.532465979,0.000291412
-4.22834447,0.455109797,0.534751172,7.86E-05
-4.216631216,0.477973621,0.534606154,0.000474394
-4.213410846,0.486506318,0.53381579,0.00035084
-4.204844778,0.488804074,0.539747194,0.00038778
-4.228341958,0.466069319,0.529664626,0.000725697
-4.226179714,0.460671049,0.533545024,0.000840018
