X (m),Y (m),Z (m),DX
-2.443545871,0.007167537,1.307049154,-0.001466039
-2.443438136,0.022125395,1.307041854,-0.001587602
-2.458857306,0.007166257,1.304047307,-0.001554433
-2.474330577,0.007165625,1.300817789,-0.001705205
-2.4434274,0.037708875,1.306984209,-0.001592768
-2.45874857,0.022122459,1.303986897,-0.001755837
-2.489803238,0.007164923,1.297394608,-0.001728185
-2.474324226,0.022120212,1.300722824,-0.001808102
-2.443389883,0.053284612,1.306846027,-0.001582519
-2.458741248,0.03770018,1.303893532,-0.001799012
-2.505360222,0.007165642,1.293821602,-0.001856531
-2.489792769,0.02211805,1.297346907,-0.001879986
-2.474319681,0.037698649,1.300599198,-0.001781601
-2.443333047,0.068852031,1.306637522,-0.001594942
-2.458721755,0.05327034,1.303764111,-0.001805971
-2.520527403,0.007165069,1.290145525,-0.001825163
-2.443268366,0.084421603,1.30641189,-0.001632938
-2.505332133,0.022118804,1.293780164,-0.002021047
-2.489783788,0.037694716,1.297256679,-0.001874385
-2.474314635,0.053273264,1.300465382,-0.00178779
-2.458686271,0.068837151,1.303566456,-0.001771678
-2.52041191,0.022110419,1.29012854,-0.001956966
-2.535885611,0.007162368,1.2862192,-0.002074535
-2.443204673,0.099991443,1.306161831,-0.001657573
-2.458638043,0.084406497,1.303308568,-0.001752939
-2.505310864,0.037693752,1.293680847,-0.002041452
-2.489780417,0.053269224,1.297102853,-0.001893485
-2.474306012,0.06884352,1.300310666,-0.001795921
-2.551607924,0.007160219,1.282012752,-0.002070621
-2.520378398,0.037677653,1.290021965,-0.001940338
-2.535788186,0.022102675,1.286197693,-0.002289287
-2.443130405,0.115557506,1.305821195,-0.001641541
-2.458590031,0.099976137,1.30302391,-0.001758163
-2.474292619,0.084415519,1.300072379,-0.001800369
-2.505300106,0.053268392,1.293509769,-0.00203673
-2.489781019,0.068840991,1.296904015,-0.001940977
-2.517940339,0.050661743,1.29048415,-0.00096001
-2.567035785,0.007158717,1.27766795,-0.002179989
