price,propertyAddress,typeOfProperty,noOfBeds,foundFloorPlanImage,mapLocation,area,priceRank,areaRank,Rank Sum
525000.0,"Harrow, Middlesex, HA3",Terraced,×3,https://media.rightmove.co.uk/dir/31k/30482/125994710/30482_4633940_FLP_00_0000.png,https://www.rightmove.co.uk/properties/125994710#/map?channel=RES_BUY,1107.0,41.5,73.5,115.0
430000.0,"Ufford Close, Harrow",Semi-Detached,×3,https://media.rightmove.co.uk/dir/204k/203807/128501657/203807_295557_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128501657#/map?channel=RES_BUY,991.0,7.0,109.0,116.0
500000.0,"Primrose Close, Rayners Lane HA2 9AT",End of Terrace,×3,https://media.rightmove.co.uk/dir/62k/61517/123478049/61517_LLT_HRR_LFSYCL_142152_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/123478049#/map?channel=RES_BUY,1042.0,24.0,95.0,119.0
500000.0,"Graham Road, Harrow Weald",Semi-Detached,×3,https://media.rightmove.co.uk/dir/70k/69686/125454368/69686_102800003885_FLP_00_0000.png,https://www.rightmove.co.uk/properties/125454368#/map?channel=RES_BUY,1031.0,24.0,98.0,122.0
550000.0,"Welldon Crescent, Harrow, HA1",Terraced,×3,https://media.rightmove.co.uk/dir/11k/10776/121616987/10776_HAR210782_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/121616987#/map?channel=RES_BUY,1196.0,65.0,58.0,123.0
575000.0,"Perwell Avenue, Harrow, HA2",Semi-Detached,×3,https://media.rightmove.co.uk/dir/11k/10776/128580695/10776_HAR210521_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128580695#/map?channel=RES_BUY,1282.0,91.5,32.0,123.5
550000.0,"Leamington Crescent, Harrow, Middlesex, HA2",Terraced,×3,https://media.rightmove.co.uk/dir/11k/10776/127492742/10776_HAR160577_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127492742#/map?channel=RES_BUY,1184.0,65.0,60.0,125.0
550000.0,"Arundel Drive, Harrow, Middlesex, HA2",Semi-Detached,×3,https://media.rightmove.co.uk/dir/47k/46205/128234579/46205_RUI200007_FLP_00_0001.jpeg,https://www.rightmove.co.uk/properties/128234579#/map?channel=RES_BUY,1163.0,65.0,64.5,129.5
499950.0,"Lower Road, Harrow",Semi-Detached,×3,https://media.rightmove.co.uk/dir/16k/15002/124141397/15002_103358006268_FLP_02_0000.png,https://www.rightmove.co.uk/properties/124141397#/map?channel=RES_BUY,976.0,20.0,111.0,131.0
575000.0,"The Avenue, Harrow Weald",Terraced,×3,https://media.rightmove.co.uk/dir/70k/69686/126196493/69686_102800003763_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126196493#/map?channel=RES_BUY,1246.0,91.5,40.5,132.0
575000.0,"Clydesdale Avenue, Stanmore, Middlesex, HA7",Semi-Detached,×3,https://media.rightmove.co.uk/dir/173k/172868/127892957/172868_STN220283_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127892957#/map?channel=RES_BUY,1230.0,91.5,46.0,137.5
550000.0,"Curzon Avenue, Stanmore, HA7",Semi-Detached,×3,https://media.rightmove.co.uk/dir/46k/45962/125758220/45962_STN220147_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125758220#/map?channel=RES_BUY,1092.0,65.0,80.0,145.0
