price,propertyAddress,typeOfProperty,noOfBeds,mapLocation,area,status,date
"£595,000","Daventer Drive, Stanmore, HA7",Link Detached House,3,https://www.rightmove.co.uk/properties/124054280#/map?channel=RES_BUY,917,Reduced , 06/10/2022
"£565,000","Flecker Close, Stanmore, Middlesex, HA7",Terraced,4,https://www.rightmove.co.uk/properties/124238633#/map?channel=RES_BUY,1305,Added , 07/12/2022
"£540,000","Taunton Way, Stanmore, Middlesex, HA7",Semi-Detached,3,https://www.rightmove.co.uk/properties/125333570#/map?channel=RES_BUY,688,Added , 25/07/2022
"£585,000","Stanmore, Middlesex, HA7",Semi-Detached,3,https://www.rightmove.co.uk/properties/125824526#/map?channel=RES_BUY,1111,Added , 29/06/2022
"£600,000","Brightwen Grove, Stanmore, HA7",Semi-Detached,3,https://www.rightmove.co.uk/properties/126031292#/map?channel=RES_BUY,873,Reduced , 09/08/2022
"£565,000","Castellane Close, Stanmore, HA7",Link Detached House,3,https://www.rightmove.co.uk/properties/126781541#/map?channel=RES_BUY,905,Added , 06/09/2022
"£585,000","Bellamy Drive, Stanmore",Semi-Detached,3,https://www.rightmove.co.uk/properties/128152505#/map?channel=RES_BUY,513,Added , 29/06/2022
"£595,000","Dean Drive, Stanmore, HA7",End of Terrace,3,https://www.rightmove.co.uk/properties/128202899#/map?channel=RES_BUY,881,Reduced , 31/10/2022
"£550,000","Acacia Close, Stanmore",Town House,4,https://www.rightmove.co.uk/properties/128582327#/map?channel=RES_BUY,0,Added , 17/08/2022
"£600,000","Woodstock Close, Stanmore",Semi-Detached,3,https://www.rightmove.co.uk/properties/129113195#/map?channel=RES_BUY,393,Added , 15/10/2022
"£575,000","Curzon Avenue, Stanmore, HA7",Semi-Detached,3,https://www.rightmove.co.uk/properties/129333284#/map?channel=RES_BUY,1056,Reduced , 28/11/2022
"£585,000","Bellamy Drive, Stanmore, Middlesex",Semi-Detached,3,https://www.rightmove.co.uk/properties/129725540#/map?channel=RES_BUY,955,Added , 28/06/2022
"£575,000","Clydesdale Avenue, Stanmore, Middlesex",Semi-Detached,3,https://www.rightmove.co.uk/properties/129725543#/map?channel=RES_BUY,1230,Reduced , 25/10/2022
"£549,950","Courtens Mews, Stanmore, Middlesex",End of Terrace,3,https://www.rightmove.co.uk/properties/129725588#/map?channel=RES_BUY,878,Reduced , 21/10/2022
"£550,000","Ashdale Grove, Stanmore, Middlesex",Bungalow,2,https://www.rightmove.co.uk/properties/129734849#/map?channel=RES_BUY,953,Added , 05/12/2022
"£590,000","Langland Crescent, Stanmore, Middlesex, HA7",Semi-Detached,3,https://www.rightmove.co.uk/properties/129797129#/map?channel=RES_BUY,779,Added , 07/12/2022
"£540,000","Aldridge Avenue, Stanmore, HA7",House,3,https://www.rightmove.co.uk/properties/130131704#/map?channel=RES_BUY,808,Added , 20/12/2022
"£600,000","Uppingham Avenue, Stanmore, HA7",Semi-Detached,3,https://www.rightmove.co.uk/properties/130252460#/map?channel=RES_BUY,844,Added , 26/12/2022
"£595,000","Ashdale Grove, Stanmore, Middlesex",Bungalow,2,https://www.rightmove.co.uk/properties/130695743#/map?channel=RES_BUY,1093,Added yesterday,
