price,propertyAddress,typeOfProperty,noOfBeds,foundFloorPlanImage,mapLocation,area,priceRank,areaRank,Rank Sum
112500,"Aviation Drive, Colindale, London, NW9",Flat,×3,https://media.rightmove.co.uk/dir/88k/87812/124230089/87812_1207274_FLP_00_0000.png,https://www.rightmove.co.uk/properties/124230089#/map?channel=RES_BUY,866,1.0,58.0,59.0
425000,"West Hendon Broadway, London",Flat,×3,https://media.rightmove.co.uk/dir/45k/44870/124913999/44870_31566300_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124913999#/map?channel=RES_BUY,1225,54.5,16.0,70.5
350000,"High Mount, Station Road, London, NW4",Flat,×2,https://media.rightmove.co.uk/dir/249k/248612/126122675/248612_10215367_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126122675#/map?channel=RES_BUY,863,16.5,60.0,76.5
375000,"Victoria Road, Hendon, London, NW4",Apartment,×2,https://media.rightmove.co.uk/dir/46k/45890/122177597/45890_HEN220091_FLP_00_0001.jpeg,https://www.rightmove.co.uk/properties/122177597#/map?channel=RES_BUY,898,31.0,48.5,79.5
459950,"Raffles House, Hendon",Flat,×3,https://media.rightmove.co.uk/dir/47k/46965/126787439/46965_47834_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126787439#/map?channel=RES_BUY,88867,78.5,1.0,79.5
399950,"High Mount, Hendon",Flat,×2,https://media.rightmove.co.uk/dir/45k/44870/126442985/44870_31750501_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126442985#/map?channel=RES_BUY,942,42.5,42.0,84.5
325000,"West Hendon Broadway, NW9",Flat,×3,https://media.rightmove.co.uk/dir/12k/11432/96603610/11432_0025_HRT002509613_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/96603610#/map?channel=RES_BUY,796,8.0,81.0,89.0
465000,"Parson Street, London, NW4",Apartment,×2,https://media.rightmove.co.uk/dir/200k/199046/125146685/199046_JTH220040_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125146685#/map?channel=RES_BUY,1394,81.0,10.0,91.0
400000,"High Mount, Hendon",Flat,×2,https://media.rightmove.co.uk/dir/45k/44870/127284995/44870_31810533_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127284995#/map?channel=RES_BUY,930,47.5,45.0,92.5
400000,"Vincent Court, Bell Lane, Hendon NW4",Apartment,×2,https://media.rightmove.co.uk/dir/47k/46965/125160884/46965_52594_FLP_00_0000.png,https://www.rightmove.co.uk/properties/125160884#/map?channel=RES_BUY,916,47.5,46.0,93.5
375000,"Hendon Way, Hendon",Flat,×2,https://media.rightmove.co.uk/dir/45k/44870/128149004/44870_31877457_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128149004#/map?channel=RES_BUY,857,31.0,63.0,94.0
435000,"North Circular Road, London,NW11 9LG",Flat,×4,https://media.rightmove.co.uk/dir/20k/19416/125751965/19416_103014006120_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125751965#/map?channel=RES_BUY,1013,60.0,35.0,95.0
400000,"Bell Lane, Hendon, London",Flat,×2,https://media.rightmove.co.uk/dir/88k/87277/126542654/87277_31756322_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126542654#/map?channel=RES_BUY,898,47.5,48.5,96.0
