Rank,price,propertyAddress,typeOfProperty,noOfBeds,foundFloorPlanImage,mapLocation,area,priceRank,areaRank,roomRank,Rank Sum,NW,£/m2
1,400000,"Winchester Road, Edmonton, N9",Terraced,3,https://media.rightmove.co.uk/dir/7k/6550/127150808/6550_31801265_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127150808#/map?channel=RES_BUY,979,18.5,22,82,122.5,FALSE,
2,475000,"Owen Way, Neasden, London NW10",End of Terrace,4,https://media.rightmove.co.uk/dir/238k/237482/96630712/237482_hilton_29444223_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/96630712#/map?channel=RES_BUY,1306,83.5,64,9,156.5,TRUE,363.7059724
3,500000,"Lansbury Close, Neasden",Terraced,4,https://media.rightmove.co.uk/dir/50k/49744/127823456/49744_31849681_FLP_00_0001.jpeg,https://www.rightmove.co.uk/properties/127823456#/map?channel=RES_BUY,1324,114.5,53,9,176.5,FALSE,377.6435045
4,475000,"Lopen Road, Edmonton",Terraced,4,https://media.rightmove.co.uk/dir/25k/24386/127213550/24386_11689482_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127213550#/map?channel=RES_BUY,1213,83.5,111,9,203.5,FALSE,391.5910965
5,399950,"Grosvenor Road, London",Terraced,3,https://media.rightmove.co.uk/dir/25k/24386/85892283/24386_11733277_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/85892283#/map?channel=RES_BUY,1117,12,155.5,82,249.5,FALSE,358.0572963
6,500000,"Yarmouth Crescent, London, N17",End of Terrace,3,https://media.rightmove.co.uk/dir/1k/582/128467448/582_TOT220036_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128467448#/map?channel=RES_BUY,1317,114.5,58,82,254.5,FALSE,379.6507213
7,475000,"Laburnum Avenue, London, N17",Terraced,3,https://media.rightmove.co.uk/dir/1k/582/127424321/582_TOT220149_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127424321#/map?channel=RES_BUY,1234,83.5,100,82,265.5,FALSE,384.9270665
8,459995,"Hailsam Terrace, Great Cambridge Road, N18",Terraced,3,https://media.rightmove.co.uk/dir/167k/166970/128271044/166970_102489001170_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128271044#/map?channel=RES_BUY,1164,63,127,82,272,FALSE,
9,435000,"Dartford Avenue, Edmonton, N9",Detached,3,https://media.rightmove.co.uk/dir/25k/24386/85807299/24386_9341967_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/85807299#/map?channel=RES_BUY,1126,39,151.5,82,272.5,FALSE,386.3232682
10,549950,"Silkfield Road, Colindale, London, NW9",Semi-Detached,3,https://media.rightmove.co.uk/dir/224k/223670/127971788/223670_ACR220167_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127971788#/map?channel=RES_BUY,1481,163.5,29,82,274.5,TRUE,371.3369345
